날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 1월 24일,59.16,59.16,59.16,59.16,-,0.14%
2019년 1월 23일,59.08,59.08,59.08,59.08,-,-0.03%
2019년 1월 22일,59.1,59.1,59.1,59.1,-,-0.71%
2019년 1월 18일,59.52,59.52,59.52,59.52,-,1.12%
2019년 1월 17일,58.86,58.86,58.86,58.86,-,-0.02%
2019년 1월 16일,58.87,58.87,58.87,58.87,-,0.62%
2019년 1월 15일,58.51,58.51,58.51,58.51,-,1.51%
2019년 1월 14일,57.64,57.64,57.64,57.64,-,-1.27%
2019년 1월 11일,58.38,58.38,58.38,58.38,-,-1.20%
2019년 1월 10일,59.09,59.09,59.09,59.09,-,0.32%
2019년 1월 9일,58.9,58.9,58.9,58.9,-,3.57%
2019년 1월 8일,56.87,56.87,56.87,56.87,-,2.25%
2019년 1월 7일,55.62,55.62,55.62,55.62,-,0.27%
2019년 1월 4일,55.47,55.47,55.47,55.47,-,1.30%
2019년 1월 3일,54.76,54.76,54.76,54.76,-,1.61%
2019년 1월 2일,53.89,53.89,53.89,53.89,-,-5.98%
2018년 12월 31일,57.32,57.32,57.32,57.32,-,0.00%
2018년 12월 28일,57.32,57.32,57.32,57.32,-,0.07%
2018년 12월 27일,57.28,57.28,57.28,57.28,-,-0.24%
2018년 12월 26일,57.42,57.42,57.42,57.42,-,0.86%
2018년 12월 24일,56.93,56.93,56.93,56.93,-,-0.96%
2018년 12월 21일,57.48,57.48,57.48,57.48,-,-0.09%
2018년 12월 20일,57.53,57.53,57.53,57.53,-,-1.17%
2018년 12월 19일,58.21,58.21,58.21,58.21,-,0.50%
2018년 12월 18일,57.92,57.92,57.92,57.92,-,-2.06%
2018년 12월 17일,59.14,59.14,59.14,59.14,-,-0.35%
2018년 12월 14일,59.35,59.35,59.35,59.35,-,-0.95%
2018년 12월 13일,59.92,59.92,59.92,59.92,-,1.15%
2018년 12월 12일,59.24,59.24,59.24,59.24,-,0.17%
2018년 12월 11일,59.14,59.14,59.14,59.14,-,0.22%
2018년 12월 10일,59.01,59.01,59.01,59.01,-,-1.98%
2018년 12월 7일,60.2,60.2,60.2,60.2,-,1.67%
2018년 12월 6일,59.21,59.21,59.21,59.21,-,-2.07%
2018년 12월 5일,60.46,60.46,60.46,60.46,-,-0.97%
2018년 12월 4일,61.05,61.05,61.05,61.05,-,0.88%
2018년 12월 3일,60.52,60.52,60.52,60.52,-,-7.69%
2018년 11월 30일,65.56,65.56,65.56,65.56,-,-0.05%
2018년 11월 29일,65.59,65.59,65.59,65.59,-,0.11%
2018년 11월 28일,65.52,65.52,65.52,65.52,-,-0.11%
2018년 11월 27일,65.59,65.59,65.59,65.59,-,-0.06%
2018년 11월 26일,65.63,65.63,65.63,65.63,-,0.43%
2018년 11월 23일,65.35,65.35,65.35,65.35,-,-1.68%
2018년 11월 21일,66.47,66.47,66.47,66.47,-,0.62%
2018년 11월 20일,66.06,66.06,66.06,66.06,-,-2.39%
2018년 11월 19일,67.68,67.68,67.68,67.68,-,0.12%
2018년 11월 16일,67.6,67.6,67.6,67.6,-,0.07%
2018년 11월 15일,67.55,67.55,67.55,67.55,-,0.43%
2018년 11월 14일,67.26,67.26,67.26,67.26,-,0.52%
2018년 11월 13일,66.91,66.91,66.91,66.91,-,-4.15%
2018년 11월 12일,69.81,69.81,69.81,69.81,-,-0.01%
2018년 11월 9일,69.82,69.82,69.82,69.82,-,-0.23%
2018년 11월 8일,69.98,69.98,69.98,69.98,-,-1.52%
2018년 11월 7일,71.06,71.06,71.06,71.06,-,0.10%
2018년 11월 6일,70.99,70.99,70.99,70.99,-,-1.24%
2018년 11월 5일,71.88,71.88,71.88,71.88,-,0.48%
2018년 11월 2일,71.54,71.54,71.54,71.54,-,-0.03%
2018년 11월 1일,71.56,71.56,71.56,71.56,-,-9.86%
2018년 10월 31일,79.39,79.39,79.39,79.39,-,0.05%
2018년 10월 30일,79.35,79.35,79.35,79.35,-,-0.08%
2018년 10월 29일,79.41,79.41,79.41,79.41,-,-0.05%
2018년 10월 26일,79.45,79.45,79.45,79.45,-,0.09%
2018년 10월 25일,79.38,79.38,79.38,79.38,-,0.13%
2018년 10월 24일,79.28,79.28,79.28,79.28,-,-0.05%
2018년 10월 23일,79.32,79.32,79.32,79.32,-,-1.08%
2018년 10월 22일,80.19,80.19,80.19,80.19,-,0.14%
2018년 10월 19일,80.08,80.08,80.08,80.08,-,0.06%
2018년 10월 18일,80.03,80.03,80.03,80.03,-,-0.27%
2018년 10월 17일,80.25,80.25,80.25,80.25,-,-0.74%
2018년 10월 16일,80.85,80.85,80.85,80.85,-,0.57%
2018년 10월 15일,80.39,80.39,80.39,80.39,-,0.02%
2018년 10월 12일,80.37,80.37,80.37,80.37,-,0.22%
2018년 10월 11일,80.19,80.19,80.19,80.19,-,-2.03%
2018년 10월 10일,81.85,81.85,81.85,81.85,-,-1.69%
2018년 10월 9일,83.26,83.26,83.26,83.26,-,0.82%
2018년 10월 8일,82.58,82.58,82.58,82.58,-,-0.16%
2018년 10월 5일,82.71,82.71,82.71,82.71,-,-0.08%
2018년 10월 4일,82.78,82.78,82.78,82.78,-,-1.59%
2018년 10월 3일,84.12,84.12,84.12,84.12,-,1.77%
2018년 10월 2일,82.66,82.66,82.66,82.66,-,-0.19%
2018년 10월 1일,82.82,82.82,82.82,82.82,-,7.21%
2018년 9월 28일,77.25,77.25,77.25,77.25,-,0.04%
2018년 9월 27일,77.22,77.22,77.22,77.22,-,0.16%
2018년 9월 26일,77.1,77.1,77.1,77.1,-,-0.05%
2018년 9월 25일,77.14,77.14,77.14,77.14,-,0.16%
2018년 9월 24일,77.02,77.02,77.02,77.02,-,0.71%
2018년 9월 21일,76.48,76.48,76.48,76.48,-,0.05%
2018년 9월 20일,76.44,76.44,76.44,76.44,-,-0.27%
2018년 9월 19일,76.65,76.65,76.65,76.65,-,0.20%
2018년 9월 18일,76.5,76.5,76.5,76.5,-,0.58%
2018년 9월 17일,76.06,76.06,76.06,76.06,-,-0.09%
2018년 9월 14일,76.13,76.13,76.13,76.13,-,-0.12%
2018년 9월 13일,76.22,76.22,76.22,76.22,-,-1.14%
2018년 9월 12일,77.1,77.1,77.1,77.1,-,0.50%
2018년 9월 11일,76.72,76.72,76.72,76.72,-,1.54%
2018년 9월 10일,75.56,75.56,75.56,75.56,-,0.69%
2018년 9월 7일,75.04,75.04,75.04,75.04,-,0.47%
2018년 9월 6일,74.69,74.69,74.69,74.69,-,-1.11%
2018년 9월 5일,75.53,75.53,75.53,75.53,-,-1.14%
2018년 9월 4일,76.4,76.4,76.4,76.4,-,5.39%
2018년 8월 31일,72.49,72.49,72.49,72.49,-,-0.03%
2018년 8월 30일,72.51,72.51,72.51,72.51,-,0.03%
2018년 8월 29일,72.49,72.49,72.49,72.49,-,0.14%
2018년 8월 28일,72.39,72.39,72.39,72.39,-,-0.08%
2018년 8월 27일,72.45,72.45,72.45,72.45,-,0.08%
2018년 8월 24일,72.39,72.39,72.39,72.39,-,0.44%
2018년 8월 23일,72.07,72.07,72.07,72.07,-,0.01%
2018년 8월 22일,72.06,72.06,72.06,72.06,-,0.95%
2018년 8월 21일,71.38,71.38,71.38,71.38,-,0.28%
2018년 8월 20일,71.18,71.18,71.18,71.18,-,0.15%
2018년 8월 17일,71.07,71.07,71.07,71.07,-,0.27%
2018년 8월 16일,70.88,70.88,70.88,70.88,-,0.50%
2018년 8월 15일,70.53,70.53,70.53,70.53,-,-1.23%
2018년 8월 14일,71.41,71.41,71.41,71.41,-,-0.15%
2018년 8월 13일,71.52,71.52,71.52,71.52,-,-0.26%
2018년 8월 10일,71.71,71.71,71.71,71.71,-,0.80%
2018년 8월 9일,71.14,71.14,71.14,71.14,-,-0.21%
2018년 8월 8일,71.29,71.29,71.29,71.29,-,-2.22%
2018년 8월 7일,72.91,72.91,72.91,72.91,-,0.77%
2018년 8월 6일,72.35,72.35,72.35,72.35,-,0.64%
2018년 8월 3일,71.89,71.89,71.89,71.89,-,-0.43%
2018년 8월 2일,72.2,72.2,72.2,72.2,-,1.93%
2018년 8월 1일,70.83,70.83,70.83,70.83,-,-3.13%
2018년 7월 31일,73.12,73.12,73.12,73.12,-,-0.04%
2018년 7월 30일,73.15,73.15,73.15,73.15,-,0.01%
2018년 7월 27일,73.14,73.14,73.14,73.14,-,0.00%
2018년 7월 26일,73.14,73.14,73.14,73.14,-,0.18%
2018년 7월 25일,73.01,73.01,73.01,73.01,-,0.26%
2018년 7월 24일,72.82,72.82,72.82,72.82,-,0.21%
2018년 7월 23일,72.67,72.67,72.67,72.67,-,0.11%
2018년 7월 20일,72.59,72.59,72.59,72.59,-,0.21%
2018년 7월 19일,72.44,72.44,72.44,72.44,-,-0.39%
2018년 7월 18일,72.72,72.72,72.72,72.72,-,0.48%
2018년 7월 17일,72.37,72.37,72.37,72.37,-,0.50%
2018년 7월 16일,72.01,72.01,72.01,72.01,-,-2.45%
2018년 7월 13일,73.82,73.82,73.82,73.82,-,0.81%
2018년 7월 12일,73.23,73.23,73.23,73.23,-,1.22%
2018년 7월 11일,72.35,72.35,72.35,72.35,-,-4.46%
2018년 7월 10일,75.73,75.73,75.73,75.73,-,0.87%
2018년 7월 9일,75.08,75.08,75.08,75.08,-,1.12%
2018년 7월 6일,74.25,74.25,74.25,74.25,-,-0.38%
2018년 7월 5일,74.53,74.53,74.53,74.53,-,-0.47%
2018년 7월 3일,74.88,74.88,74.88,74.88,-,0.74%
2018년 7월 2일,74.33,74.33,74.33,74.33,-,1.01%
2018년 6월 29일,73.59,73.59,73.59,73.59,-,0.03%
2018년 6월 28일,73.57,73.57,73.57,73.57,-,-0.01%
2018년 6월 27일,73.58,73.58,73.58,73.58,-,0.19%
2018년 6월 26일,73.44,73.44,73.44,73.44,-,0.40%
2018년 6월 25일,73.15,73.15,73.15,73.15,-,-0.20%
2018년 6월 22일,73.3,73.3,73.3,73.3,-,0.92%
2018년 6월 21일,72.63,72.63,72.63,72.63,-,-0.53%
2018년 6월 20일,73.02,73.02,73.02,73.02,-,-0.23%
2018년 6월 19일,73.19,73.19,73.19,73.19,-,-0.41%
2018년 6월 18일,73.49,73.49,73.49,73.49,-,0.96%
2018년 6월 15일,72.79,72.79,72.79,72.79,-,-1.56%
2018년 6월 14일,73.94,73.94,73.94,73.94,-,-0.70%
2018년 6월 13일,74.46,74.46,74.46,74.46,-,0.66%
2018년 6월 12일,73.97,73.97,73.97,73.97,-,-0.54%
2018년 6월 11일,74.37,74.37,74.37,74.37,-,0.09%
2018년 6월 8일,74.3,74.3,74.3,74.3,-,-0.77%
2018년 6월 7일,74.88,74.88,74.88,74.88,-,1.99%
2018년 6월 6일,73.42,73.42,73.42,73.42,-,0.05%
2018년 6월 5일,73.38,73.38,73.38,73.38,-,0.31%
2018년 6월 4일,73.15,73.15,73.15,73.15,-,-1.30%
2018년 6월 1일,74.11,74.11,74.11,74.11,-,-0.40%
2018년 5월 31일,74.41,74.41,74.41,74.41,-,-0.04%
2018년 5월 30일,74.44,74.44,74.44,74.44,-,-0.19%
2018년 5월 29일,74.58,74.58,74.58,74.58,-,0.17%
2018년 5월 25일,74.45,74.45,74.45,74.45,-,-0.44%
2018년 5월 24일,74.78,74.78,74.78,74.78,-,-0.27%
2018년 5월 23일,74.98,74.98,74.98,74.98,0.04K,0.09%
2018년 5월 22일,74.91,74.91,74.91,74.91,0.02K,0.16%
2018년 5월 21일,74.79,74.79,74.79,74.79,-,0.46%
2018년 5월 18일,74.45,74.45,74.45,74.45,-,-0.29%
2018년 5월 17일,74.67,74.67,74.67,74.67,-,0.11%
2018년 5월 16일,74.59,74.59,74.59,74.59,-,0.74%
2018년 5월 15일,74.04,74.04,74.04,74.04,-,0.03%
2018년 5월 14일,74.02,74.02,74.02,74.02,-,0.73%
2018년 5월 11일,73.48,73.48,73.48,73.48,-,-0.27%
2018년 5월 10일,73.68,73.68,73.68,73.68,-,0.42%
2018년 5월 9일,73.37,73.37,73.37,73.37,-,2.29%
2018년 5월 8일,71.73,71.73,71.73,71.73,-,-1.51%
2018년 5월 7일,72.83,72.83,72.83,72.83,-,1.46%
2018년 5월 4일,71.78,71.78,71.78,71.78,-,1.51%
2018년 5월 3일,70.71,70.71,70.71,70.71,-,0.38%
2018년 5월 2일,70.44,70.44,70.44,70.44,-,-0.16%
2018년 5월 1일,70.55,70.55,70.55,70.55,-,3.34%
2018년 4월 30일,68.27,68.27,68.27,68.27,-,-0.01%
2018년 4월 27일,68.28,68.28,68.28,68.28,-,0.00%
2018년 4월 26일,68.28,68.28,68.28,68.28,-,0.18%
2018년 4월 25일,68.16,68.16,68.16,68.16,0.01K,-0.06%
2018년 4월 24일,68.2,68.2,68.2,68.2,-,-0.31%
2018년 4월 23일,68.41,68.41,68.41,68.41,-,0.18%
2018년 4월 20일,68.29,68.29,68.29,68.29,-,0.16%
2018년 4월 19일,68.18,68.18,68.18,68.18,-,0.03%
2018년 4월 18일,68.16,68.16,68.16,68.16,-,1.16%
2018년 4월 17일,67.38,67.38,67.38,67.38,-,0.19%
2018년 4월 16일,67.25,67.25,67.25,67.25,0.01K,-0.81%
2018년 4월 13일,67.8,67.8,67.8,67.8,0.00K,0.21%
2018년 4월 12일,67.66,67.66,67.66,67.66,-,-0.18%
2018년 4월 11일,67.78,67.78,67.78,67.78,-,0.76%
2018년 4월 10일,67.27,67.27,67.27,67.27,-,2.19%
2018년 4월 9일,65.83,65.83,65.83,65.83,-,1.83%
2018년 4월 6일,64.65,64.65,64.65,64.65,-,-1.24%
2018년 4월 5일,65.46,65.46,65.46,65.46,-,0.44%
2018년 4월 4일,65.17,65.17,65.17,65.17,-,0.02%
2018년 4월 3일,65.16,65.16,65.16,65.16,-,0.84%
2018년 4월 2일,64.62,64.62,64.62,64.62,-,3.01%
2018년 3월 29일,62.73,62.73,62.73,62.73,-,0.08%
2018년 3월 28일,62.68,62.68,62.68,62.68,0.00K,-0.13%
2018년 3월 27일,62.76,62.76,62.76,62.76,-,-0.02%
2018년 3월 26일,62.77,62.77,62.77,62.77,-,-0.11%
2018년 3월 23일,62.84,62.84,62.84,62.84,-,0.35%
2018년 3월 22일,62.62,62.62,62.62,62.62,-,-0.35%
2018년 3월 21일,62.84,62.84,62.84,62.84,-,0.92%
2018년 3월 20일,62.27,62.27,62.27,62.27,-,0.66%
2018년 3월 19일,61.86,61.86,61.86,61.86,0.01K,-0.16%
2018년 3월 16일,61.96,61.96,61.96,61.96,-,0.78%
2018년 3월 15일,61.48,61.48,61.48,61.48,-,0.20%
2018년 3월 14일,61.36,61.36,61.36,61.36,0.01K,0.31%
2018년 3월 13일,61.17,61.17,61.17,61.17,-,-0.24%
2018년 3월 12일,61.32,61.32,61.32,61.32,0.01K,-0.60%
2018년 3월 9일,61.69,61.69,61.69,61.69,-,2.07%
2018년 3월 8일,60.44,60.44,60.44,60.44,-,-0.77%
2018년 3월 7일,60.91,60.91,60.91,60.91,-,-2.09%
2018년 3월 6일,62.21,62.21,62.21,62.21,-,0.44%
2018년 3월 5일,61.94,61.94,61.94,61.94,-,1.69%
2018년 3월 2일,60.91,60.91,60.91,60.91,-,0.86%
2018년 3월 1일,60.39,60.39,60.39,60.39,-,-3.71%
2018년 2월 28일,62.72,62.72,62.72,62.72,-,0.00%
2018년 2월 27일,62.72,62.72,62.72,62.72,-,-0.05%
2018년 2월 26일,62.75,62.75,62.75,62.75,-,0.00%
2018년 2월 23일,62.75,62.75,62.75,62.75,-,0.21%
2018년 2월 22일,62.62,62.62,62.62,62.62,-,0.24%
2018년 2월 21일,62.47,62.47,62.47,62.47,-,0.06%
2018년 2월 20일,62.43,62.43,62.43,62.43,-,0.24%
2018년 2월 16일,62.28,62.28,62.28,62.28,-,0.00%
2018년 2월 15일,62.28,62.28,62.28,62.28,-,0.37%
2018년 2월 14일,62.05,62.05,62.05,62.05,-,1.24%
2018년 2월 13일,61.29,61.29,61.29,61.29,-,0.21%
2018년 2월 12일,61.16,61.16,61.16,61.16,-,-0.10%
2018년 2월 9일,61.22,61.22,61.22,61.22,-,-2.27%
2018년 2월 8일,62.64,62.64,62.64,62.64,-,-0.79%
2018년 2월 7일,63.14,63.14,63.14,63.14,-,-1.76%
2018년 2월 6일,64.27,64.27,64.27,64.27,-,-1.11%
2018년 2월 5일,64.99,64.99,64.99,64.99,-,-1.14%
2018년 2월 2일,65.74,65.74,65.74,65.74,-,-1.48%
2018년 2월 1일,66.73,66.73,66.73,66.73,-,0.82%
2018년 1월 31일,66.19,66.19,66.19,66.19,-,-0.02%
2018년 1월 30일,66.2,66.2,66.2,66.2,-,-0.05%
2018년 1월 29일,66.23,66.23,66.23,66.23,-,-0.14%
2018년 1월 26일,66.32,66.32,66.32,66.32,-,0.09%
2018년 1월 25일,66.26,66.26,66.26,66.26,-,-0.08%
2018년 1월 24일,66.31,66.31,66.31,66.31,-,0.15%
2018년 1월 23일,66.21,66.21,66.21,66.21,-,0.36%
2018년 1월 22일,65.97,65.97,65.97,65.97,-,0.23%
2018년 1월 19일,65.82,65.82,65.82,65.82,-,-0.39%
2018년 1월 18일,66.08,66.08,66.08,66.08,-,-0.08%
2018년 1월 17일,66.13,66.13,66.13,66.13,-,0.12%
2018년 1월 16일,66.05,66.05,66.05,66.05,-,-0.47%
2018년 1월 12일,66.36,66.36,66.36,66.36,-,0.44%
2018년 1월 11일,66.07,66.07,66.07,66.07,-,0.09%
2018년 1월 10일,66.01,66.01,66.01,66.01,-,0.30%
2018년 1월 9일,65.81,65.81,65.81,65.81,-,1.11%
2018년 1월 8일,65.09,65.09,65.09,65.09,-,0.23%
2018년 1월 5일,64.94,64.94,64.94,64.94,-,-0.57%
2018년 1월 4일,65.31,65.31,65.31,65.31,-,0.11%
2018년 1월 3일,65.24,65.24,65.24,65.24,-,1.91%
2018년 1월 2일,64.02,64.02,64.02,64.02,-,3.93%
2017년 12월 29일,61.6,61.6,61.6,61.6,-,0.06%
2017년 12월 28일,61.56,61.56,61.56,61.56,-,0.07%
2017년 12월 27일,61.52,61.52,61.52,61.52,-,-0.13%
2017년 12월 26일,61.6,61.6,61.6,61.6,-,0.74%
2017년 12월 22일,61.15,61.15,61.15,61.15,-,-0.24%
2017년 12월 21일,61.3,61.3,61.3,61.3,-,0.03%
2017년 12월 20일,61.28,61.28,61.28,61.28,-,0.43%
2017년 12월 19일,61.02,61.02,61.02,61.02,-,0.36%
2017년 12월 18일,60.8,60.8,60.8,60.8,-,0.16%
2017년 12월 15일,60.7,60.7,60.7,60.7,-,0.08%
2017년 12월 14일,60.65,60.65,60.65,60.65,-,0.88%
2017년 12월 13일,60.12,60.12,60.12,60.12,-,-0.73%
2017년 12월 12일,60.56,60.56,60.56,60.56,-,-1.72%
2017년 12월 11일,61.62,61.62,61.62,61.62,-,1.28%
2017년 12월 8일,60.84,60.84,60.84,60.84,-,1.03%
2017년 12월 7일,60.22,60.22,60.22,60.22,-,1.48%
2017년 12월 6일,59.34,59.34,59.34,59.34,-,-2.00%
2017년 12월 5일,60.55,60.55,60.55,60.55,-,0.88%
2017년 12월 4일,60.02,60.02,60.02,60.02,-,-1.98%
2017년 12월 1일,61.23,61.23,61.23,61.23,-,0.67%
2017년 11월 30일,60.82,60.82,60.82,60.82,-,0.03%
2017년 11월 29일,60.8,60.8,60.8,60.8,-,0.00%
2017년 11월 28일,60.8,60.8,60.8,60.8,-,-0.13%
2017년 11월 27일,60.88,60.88,60.88,60.88,-,-0.07%
2017년 11월 24일,60.92,60.92,60.92,60.92,-,0.23%
2017년 11월 22일,60.78,60.78,60.78,60.78,-,0.25%
2017년 11월 21일,60.63,60.63,60.63,60.63,0.01K,0.13%
2017년 11월 20일,60.55,60.55,60.55,60.55,0.40K,-0.44%
2017년 11월 17일,60.82,60.82,60.82,60.82,-,1.00%
2017년 11월 16일,60.22,60.22,60.22,60.22,-,-0.45%
2017년 11월 15일,60.49,60.49,60.49,60.49,-,-0.33%
2017년 11월 14일,60.69,60.69,60.69,60.69,-,-0.80%
2017년 11월 13일,61.18,61.18,61.18,61.18,-,-0.20%
2017년 11월 10일,61.3,61.3,61.3,61.3,-,-0.42%
2017년 11월 9일,61.56,61.56,61.56,61.56,-,0.69%
2017년 11월 8일,61.14,61.14,61.14,61.14,-,-0.10%
2017년 11월 7일,61.2,61.2,61.2,61.2,-,-1.02%
2017년 11월 6일,61.83,61.83,61.83,61.83,-,2.79%
2017년 11월 3일,60.15,60.15,60.15,60.15,-,2.17%
2017년 11월 2일,58.87,58.87,58.87,58.87,-,0.24%
2017년 11월 1일,58.73,58.73,58.73,58.73,-,5.72%
2017년 10월 31일,55.55,55.55,55.55,55.55,-,0.02%
2017년 10월 30일,55.54,55.54,55.54,55.54,-,-0.02%
2017년 10월 27일,55.55,55.55,55.55,55.55,-,0.18%
2017년 10월 26일,55.45,55.45,55.45,55.45,-,0.20%
2017년 10월 25일,55.34,55.34,55.34,55.34,-,-0.09%
2017년 10월 24일,55.39,55.39,55.39,55.39,-,0.45%
2017년 10월 23일,55.14,55.14,55.14,55.14,-,-0.24%
2017년 10월 20일,55.27,55.27,55.27,55.27,-,0.25%
2017년 10월 19일,55.13,55.13,55.13,55.13,-,-0.63%
2017년 10월 18일,55.48,55.48,55.48,55.48,-,0.20%
2017년 10월 17일,55.37,55.37,55.37,55.37,-,0.05%
2017년 10월 16일,55.34,55.34,55.34,55.34,-,0.55%
2017년 10월 13일,55.04,55.04,55.04,55.04,-,0.92%
2017년 10월 12일,54.54,54.54,54.54,54.54,-,-0.53%
2017년 10월 11일,54.83,54.83,54.83,54.83,-,0.40%
2017년 10월 10일,54.61,54.61,54.61,54.61,-,0.94%
2017년 10월 9일,54.1,54.1,54.1,54.1,-,0.28%
2017년 10월 6일,53.95,53.95,53.95,53.95,-,-2.30%
2017년 10월 5일,55.22,55.22,55.22,55.22,-,1.71%
2017년 10월 4일,54.29,54.29,54.29,54.29,-,-0.24%
2017년 10월 3일,54.42,54.42,54.42,54.42,-,-0.55%
2017년 10월 2일,54.72,54.72,54.72,54.72,-,1.96%
2017년 9월 29일,53.67,53.67,53.67,53.67,-,0.07%
2017년 9월 28일,53.63,53.63,53.63,53.63,-,-0.07%
2017년 9월 27일,53.67,53.67,53.67,53.67,-,-0.19%
2017년 9월 26일,53.77,53.77,53.77,53.77,-,-0.28%
2017년 9월 25일,53.92,53.92,53.92,53.92,-,0.60%
2017년 9월 22일,53.6,53.6,53.6,53.6,-,0.15%
2017년 9월 21일,53.52,53.52,53.52,53.52,-,0.02%
2017년 9월 20일,53.51,53.51,53.51,53.51,-,0.79%
2017년 9월 19일,53.09,53.09,53.09,53.09,-,-0.30%
2017년 9월 18일,53.25,53.25,53.25,53.25,-,-0.06%
2017년 9월 15일,53.28,53.28,53.28,53.28,-,0.11%
2017년 9월 14일,53.22,53.22,53.22,53.22,-,0.30%
2017년 9월 13일,53.06,53.06,53.06,53.06,-,0.91%
2017년 9월 12일,52.58,52.58,52.58,52.58,0.10K,0.44%
2017년 9월 11일,52.35,52.35,52.35,52.35,-,0.21%
2017년 9월 8일,52.24,52.24,52.24,52.24,-,-1.02%
2017년 9월 7일,52.78,52.78,52.78,52.78,-,0.04%
2017년 9월 6일,52.76,52.76,52.76,52.76,-,1.42%
2017년 9월 5일,52.02,52.02,52.02,52.02,-,1.03%
2017년 9월 1일,51.49,51.49,51.49,51.49,-,2.53%
2017년 8월 31일,50.22,50.22,50.22,50.22,0.33K,0.00%
2017년 8월 30일,50.22,50.22,50.22,50.22,0.15K,-0.06%
2017년 8월 29일,50.25,50.25,50.25,50.25,0.15K,0.02%
2017년 8월 28일,50.24,50.24,50.24,50.24,-,-0.12%
2017년 8월 25일,50.3,50.3,50.3,50.3,-,0.18%
2017년 8월 24일,50.21,50.21,50.21,50.21,-,-0.30%
2017년 8월 23일,50.36,50.36,50.36,50.36,-,0.44%
2017년 8월 22일,50.14,50.14,50.14,50.14,-,0.10%
2017년 8월 21일,50.09,50.09,50.09,50.09,-,-0.71%
2017년 8월 18일,50.45,50.45,50.45,50.45,-,1.22%
2017년 8월 17일,49.84,49.84,49.84,49.84,-,0.54%
2017년 8월 16일,49.57,49.57,49.57,49.57,-,-0.66%
2017년 8월 15일,49.9,49.9,49.9,49.9,-,0.10%
2017년 8월 14일,49.85,49.85,49.85,49.85,-,-1.54%
2017년 8월 11일,50.63,50.63,50.63,50.63,-,0.08%
2017년 8월 10일,50.59,50.59,50.59,50.59,-,-0.14%
2017년 8월 9일,50.66,50.66,50.66,50.66,-,-0.28%
2017년 8월 8일,50.8,50.8,50.8,50.8,-,-0.39%
2017년 8월 7일,51,51,51,51,-,-0.20%
2017년 8월 4일,51.1,51.1,51.1,51.1,-,0.91%
2017년 8월 3일,50.64,50.64,50.64,50.64,-,-0.76%
2017년 8월 2일,51.03,51.03,51.03,51.03,-,1.21%
2017년 8월 1일,50.42,50.42,50.42,50.42,-,5.99%
2017년 7월 31일,47.57,47.57,47.57,47.57,-,0.02%
2017년 7월 28일,47.56,47.56,47.56,47.56,-,0.00%
2017년 7월 27일,47.56,47.56,47.56,47.56,-,0.08%
2017년 7월 26일,47.52,47.52,47.52,47.52,-,0.23%
2017년 7월 25일,47.41,47.41,47.41,47.41,-,0.64%
2017년 7월 24일,47.11,47.11,47.11,47.11,-,0.23%
2017년 7월 21일,47,47,47,47,-,-0.68%
2017년 7월 20일,47.32,47.32,47.32,47.32,0.10K,-0.29%
2017년 7월 19일,47.46,47.46,47.46,47.46,-,0.68%
2017년 7월 18일,47.14,47.14,47.14,47.14,-,0.34%
2017년 7월 17일,46.98,46.98,46.98,46.98,-,-0.53%
2017년 7월 14일,47.23,47.23,47.23,47.23,-,0.60%
2017년 7월 13일,46.95,46.95,46.95,46.95,-,0.79%
2017년 7월 12일,46.58,46.58,46.58,46.58,-,0.32%
2017년 7월 11일,46.43,46.43,46.43,46.43,-,0.87%
2017년 7월 10일,46.03,46.03,46.03,46.03,-,0.33%
2017년 7월 7일,45.88,45.88,45.88,45.88,-,-2.40%
2017년 7월 6일,47.01,47.01,47.01,47.01,-,0.45%
2017년 7월 5일,46.8,46.8,46.8,46.8,-,-3.58%
2017년 7월 3일,48.54,48.54,48.54,48.54,-,4.45%
2017년 6월 30일,46.47,46.47,46.47,46.47,-,0.00%
2017년 6월 29일,46.47,46.47,46.47,46.47,-,0.04%
2017년 6월 28일,46.45,46.45,46.45,46.45,0.15K,0.13%
2017년 6월 27일,46.39,46.39,46.39,46.39,-,0.30%
2017년 6월 26일,46.25,46.25,46.25,46.25,-,0.13%
2017년 6월 23일,46.19,46.19,46.19,46.19,-,0.20%
2017년 6월 22일,46.1,46.1,46.1,46.1,-,0.24%
2017년 6월 21일,45.99,45.99,45.99,45.99,-,-0.69%
2017년 6월 20일,46.31,46.31,46.31,46.31,-,-0.52%
2017년 6월 19일,46.55,46.55,46.55,46.55,-,-0.39%
2017년 6월 16일,46.73,46.73,46.73,46.73,-,0.30%
2017년 6월 15일,46.59,46.59,46.59,46.59,-,-0.21%
2017년 6월 14일,46.69,46.69,46.69,46.69,-,-2.08%
2017년 6월 13일,47.68,47.68,47.68,47.68,-,0.42%
2017년 6월 12일,47.48,47.48,47.48,47.48,-,0.21%
2017년 6월 9일,47.38,47.38,47.38,47.38,-,0.55%
2017년 6월 8일,47.12,47.12,47.12,47.12,-,-0.13%
2017년 6월 7일,47.18,47.18,47.18,47.18,-,-3.24%
2017년 6월 6일,48.76,48.76,48.76,48.76,-,1.06%
2017년 6월 5일,48.25,48.25,48.25,48.25,-,-1.05%
2017년 6월 2일,48.76,48.76,48.76,48.76,-,-1.44%
2017년 6월 1일,49.47,49.47,49.47,49.47,-,-2.12%
2017년 5월 31일,50.54,50.54,50.54,50.54,-,-0.08%
