날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 9월 27일,72.61,72.61,72.61,72.61,-,0.22%
2021년 9월 24일,72.45,72.45,72.45,72.45,-,0.13%
2021년 9월 23일,72.35,72.35,72.35,72.35,-,0.29%
2021년 9월 22일,72.14,72.14,72.14,72.14,-,0.79%
2021년 9월 21일,71.57,71.57,71.57,71.57,-,0.30%
2021년 9월 20일,71.36,71.36,71.36,71.36,-,-0.78%
2021년 9월 17일,71.92,71.92,71.92,71.92,-,-0.22%
2021년 9월 16일,72.07,72.07,72.07,72.07,-,-0.02%
2021년 9월 15일,72.09,72.09,72.09,72.09,-,1.26%
2021년 9월 14일,71.19,71.19,71.19,71.19,-,0.12%
2021년 9월 13일,71.11,71.11,71.11,71.11,-,0.58%
2021년 9월 10일,70.7,70.7,70.7,70.7,-,1.54%
2021년 9월 9일,69.63,69.63,69.63,69.63,-,-1.06%
2021년 9월 8일,70.38,70.38,70.38,70.38,-,0.96%
2021년 9월 7일,69.71,69.71,69.71,69.71,-,-1.32%
2021년 9월 3일,70.64,70.64,70.64,70.64,-,-0.81%
2021년 9월 2일,71.22,71.22,71.22,71.22,-,1.85%
2021년 9월 1일,69.92,69.92,69.92,69.92,-,0.63%
2021년 8월 31일,69.49,69.49,69.49,69.49,-,0.03%
2021년 8월 30일,69.46,69.46,69.46,69.46,-,0.03%
2021년 8월 27일,69.44,69.44,69.44,69.44,-,0.29%
2021년 8월 26일,69.24,69.24,69.24,69.24,-,-0.31%
2021년 8월 25일,69.45,69.45,69.45,69.45,-,0.21%
2021년 8월 24일,69.31,69.31,69.31,69.31,-,0.80%
2021년 8월 23일,68.76,68.76,68.76,68.76,-,1.72%
2021년 8월 20일,67.6,67.6,67.6,67.6,-,-0.63%
2021년 8월 19일,68.03,68.03,68.03,68.03,-,-1.33%
2021년 8월 18일,68.95,68.95,68.95,68.95,-,-0.56%
2021년 8월 17일,69.33,69.33,69.33,69.33,-,-0.28%
2021년 8월 16일,69.53,69.53,69.53,69.53,-,-0.75%
2021년 8월 13일,70.05,70.05,70.05,70.05,-,-0.55%
2021년 8월 12일,70.44,70.44,70.44,70.44,-,0.02%
2021년 8월 11일,70.42,70.42,70.42,70.42,-,1.02%
2021년 8월 10일,69.71,69.71,69.71,69.71,-,1.78%
2021년 8월 9일,68.49,68.49,68.49,68.49,-,-1.79%
2021년 8월 6일,69.74,69.74,69.74,69.74,-,-0.68%
2021년 8월 5일,70.22,70.22,70.22,70.22,-,1.21%
2021년 8월 4일,69.39,69.39,69.39,69.39,-,-2.20%
2021년 8월 3일,70.95,70.95,70.95,70.95,-,-0.60%
2021년 8월 2일,71.37,71.37,71.37,71.37,-,-2.10%
2021년 7월 30일,72.9,72.9,72.9,72.9,-,0.01%
2021년 7월 29일,72.89,72.89,72.89,72.89,-,0.11%
2021년 7월 28일,72.81,72.81,72.81,72.81,-,0.00%
2021년 7월 27일,72.81,72.81,72.81,72.81,-,-0.03%
2021년 7월 26일,72.83,72.83,72.83,72.83,-,-0.05%
2021년 7월 23일,72.87,72.87,72.87,72.87,-,0.08%
2021년 7월 22일,72.81,72.81,72.81,72.81,-,0.73%
2021년 7월 21일,72.28,72.28,72.28,72.28,-,1.40%
2021년 7월 20일,71.28,71.28,71.28,71.28,-,0.39%
2021년 7월 19일,71.01,71.01,71.01,71.01,-,-2.62%
2021년 7월 16일,72.92,72.92,72.92,72.92,-,0.12%
2021년 7월 15일,72.83,72.83,72.83,72.83,-,-0.89%
2021년 7월 14일,73.48,73.48,73.48,73.48,-,-1.18%
2021년 7월 13일,74.36,74.36,74.36,74.36,-,1.12%
2021년 7월 12일,73.54,73.54,73.54,73.54,-,-0.24%
2021년 7월 9일,73.72,73.72,73.72,73.72,-,1.57%
2021년 7월 8일,72.58,72.58,72.58,72.58,-,0.68%
2021년 7월 7일,72.08,72.08,72.08,72.08,-,-1.16%
2021년 7월 6일,72.93,72.93,72.93,72.93,-,-1.76%
2021년 7월 2일,74.23,74.23,74.23,74.23,-,0.48%
2021년 7월 1일,73.88,73.88,73.88,73.88,-,3.23%
2021년 6월 30일,71.57,71.57,71.57,71.57,-,0.00%
2021년 6월 29일,71.57,71.57,71.57,71.57,-,0.05%
2021년 6월 28일,71.54,71.54,71.54,71.54,-,-0.16%
