date,price
2009년04월18일,1334.4
2009년04월19일,1335.8
2009년04월20일,1333.97
2009년04월21일,1334.08
2009년04월22일,1333.64
2009년04월23일,1332.74
2009년04월24일,1332.75
2009년04월25일,1332.63
2009년04월26일,1332.7
2009년04월27일,1329.34
2009년04월28일,1331.23
2009년04월29일,1330.22
2009년04월30일,1328.87
2009년05월01일,1326.17
2009년05월02일,1325.16
2009년05월03일,1324.69
2009년05월04일,1323.07
2009년05월05일,1321.01
2009년05월06일,1318.9
2009년05월07일,1316.76
2009년05월08일,1315.77
2009년05월09일,1315.54
2009년05월10일,1315.61
2009년05월11일,1315.39
2009년05월12일,1317.69
2009년05월13일,1318.93
2009년05월14일,1319.15
2009년05월15일,1320.57
2009년05월16일,1321.47
2009년05월17일,1321.75
2009년05월18일,1321.56
2009년05월19일,1321.97
2009년05월20일,1322.38
2009년05월21일,1322.79
2009년05월22일,1323.33
2009년05월23일,1324.32
2009년05월24일,1324.65
2009년05월25일,1324.81
2009년05월26일,1325.66
2009년05월27일,1326.22
2009년05월28일,1325.96
2009년05월29일,1326.97
2009년05월30일,1327.1
2009년05월31일,1327.55
2009년06월01일,1327.75
2009년06월02일,1332.57
2009년06월03일,1333.58
2009년06월04일,1337.03
2009년06월05일,1341.98
2009년06월06일,1346.69
2009년06월07일,1348.93
2009년06월08일,1352.36
2009년06월09일,1367.88
2009년06월10일,1381.55
2009년06월11일,1390.05
2009년06월12일,1399.87
2009년06월13일,1407.46
2009년06월14일,1409.31
2009년06월15일,1411.54
2009년06월16일,1418.06
2009년06월17일,1422.64
2009년06월18일,1425.47
2009년06월19일,1428.95
2009년06월20일,1431.29
2009년06월21일,1432.38
2009년06월22일,1433.43
2009년06월23일,1436.94
2009년06월24일,1439.44
2009년06월25일,1441.03
2009년06월26일,1442.42
2009년06월27일,1444.13
2009년06월28일,1444.93
2009년06월29일,1445.04
2009년06월30일,1445.09
2009년07월01일,1445.37
2009년07월02일,1444.49
2009년07월03일,1445.27
2009년07월04일,1445.27
2009년07월05일,1445.22
